label,size,kernel,variant,med_ns_per_cell,min_ns_per_cell
cand_r1,49x33x33,rk_stage,irs,21.63836669921875,21.019877115885418
cand_r1,49x33x33,rk_stage,noirs,19.36907958984375,18.30499267578125
cand_r1,24x16x16,smooth_l1,untiled,22.985188802083332,21.056966145833332
cand_r1,24x16x16,smooth_l1,tiled,18.306803385416668,17.574055989583332
cand_r1,12x8x8,smooth_l2,untiled,23.399739583333332,22.658854166666668
cand_r1,12x8x8,smooth_l2,tiled,21.99609375,21.307291666666668
cand_r1,6x4x4,smooth_l3,untiled,46.208333333333336,44.833333333333336
cand_r1,6x4x4,smooth_l3,tiled,53.75,52.427083333333336
cand_r1,65x49x49,rk_stage,irs,21.933237711588543,20.13534884982639
cand_r1,65x49x49,rk_stage,noirs,19.62903510199653,17.727342393663193
cand_r1,32x24x24,smooth_l1,untiled,27.01681857638889,24.93023003472222
cand_r1,32x24x24,smooth_l1,tiled,19.82375759548611,18.12109375
cand_r1,16x12x12,smooth_l2,untiled,23.373697916666668,19.96831597222222
cand_r1,16x12x12,smooth_l2,tiled,22.518229166666668,19.96440972222222
cand_r1,8x6x6,smooth_l3,untiled,27.493055555555557,26.70138888888889
cand_r1,8x6x6,smooth_l3,tiled,34.09375,33.638888888888886
cand_r1,81x65x65,rk_stage,irs,27.85469207763672,25.9142578125
cand_r1,81x65x65,rk_stage,noirs,25.844784545898438,23.390176391601564
cand_r1,40x32x32,smooth_l1,untiled,30.0787109375,28.84033203125
cand_r1,40x32x32,smooth_l1,tiled,22.769091796875,21.33994140625
cand_r1,20x16x16,smooth_l2,untiled,20.2501953125,19.1982421875
cand_r1,20x16x16,smooth_l2,tiled,17.3740234375,16.658203125
cand_r1,10x8x8,smooth_l3,untiled,26.3046875,25.7890625
cand_r1,10x8x8,smooth_l3,tiled,25.6984375,25.4140625
cand_r1,97x97x97,rk_stage,irs,35.10891554090712,33.5886546947338
cand_r1,97x97x97,rk_stage,noirs,33.130029183846936,31.54475459346065
cand_r1,48x48x48,smooth_l1,untiled,30.065199110243057,28.42233615451389
cand_r1,48x48x48,smooth_l1,tiled,23.03275101273148,21.26368091724537
cand_r1,24x24x24,smooth_l2,untiled,25.673177083333332,22.81488715277778
cand_r1,24x24x24,smooth_l2,tiled,20.45970775462963,18.54202835648148
cand_r1,12x12x12,smooth_l3,untiled,21.917824074074073,20.979166666666668
cand_r1,12x12x12,smooth_l3,tiled,22.69502314814815,22.33622685185185
cand_r1,129x97x97,rk_stage,irs,33.71302710639106,32.62711418999566
cand_r1,129x97x97,rk_stage,noirs,31.536996629503037,30.398685879177517
cand_r1,64x48x48,smooth_l1,untiled,31.661634657118057,28.890428331163193
cand_r1,64x48x48,smooth_l1,tiled,24.944132486979168,21.99419487847222
cand_r1,32x24x24,smooth_l2,untiled,26.694959852430557,25.145670572916668
cand_r1,32x24x24,smooth_l2,tiled,18.94137912326389,18.33881293402778
cand_r1,16x12x12,smooth_l3,untiled,23.3046875,22.28732638888889
cand_r1,16x12x12,smooth_l3,tiled,22.440321180555557,22.296006944444443
cand_r2,49x33x33,rk_stage,irs,22.0362548828125,20.758463541666668
cand_r2,49x33x33,rk_stage,noirs,19.671966552734375,18.21630859375
cand_r2,24x16x16,smooth_l1,untiled,22.924967447916668,20.729817708333332
cand_r2,24x16x16,smooth_l1,tiled,18.302571614583332,17.558919270833332
cand_r2,12x8x8,smooth_l2,untiled,22.938802083333332,22.1640625
cand_r2,12x8x8,smooth_l2,tiled,21.572916666666668,21.321614583333332
cand_r2,6x4x4,smooth_l3,untiled,46.0,44.635416666666664
cand_r2,6x4x4,smooth_l3,tiled,53.34375,52.03125
cand_r2,65x49x49,rk_stage,irs,22.384802924262154,20.715494791666668
cand_r2,65x49x49,rk_stage,noirs,20.459903293185764,18.773111979166668
cand_r2,32x24x24,smooth_l1,untiled,27.06719292534722,25.09152560763889
cand_r2,32x24x24,smooth_l1,tiled,19.83002387152778,18.352864583333332
cand_r2,16x12x12,smooth_l2,untiled,23.467447916666668,20.49652777777778
cand_r2,16x12x12,smooth_l2,tiled,22.682291666666668,22.354600694444443
cand_r2,8x6x6,smooth_l3,untiled,27.62847222222222,26.71527777777778
cand_r2,8x6x6,smooth_l3,tiled,34.104166666666664,33.604166666666664
cand_r2,81x65x65,rk_stage,irs,29.245970153808592,27.257839965820313
cand_r2,81x65x65,rk_stage,noirs,27.393482971191407,24.955972290039064
cand_r2,40x32x32,smooth_l1,untiled,29.92269287109375,28.7260986328125
cand_r2,40x32x32,smooth_l1,tiled,22.64105224609375,21.5430908203125
cand_r2,20x16x16,smooth_l2,untiled,20.2287109375,19.12890625
cand_r2,20x16x16,smooth_l2,tiled,17.5701171875,16.7107421875
cand_r2,10x8x8,smooth_l3,untiled,26.2203125,25.6609375
cand_r2,10x8x8,smooth_l3,tiled,25.3296875,25.0671875
cand_r2,97x97x97,rk_stage,irs,36.32458778663918,34.14416842990451
cand_r2,97x97x97,rk_stage,noirs,33.67382416901765,31.986043294270832
cand_r2,48x48x48,smooth_l1,untiled,29.08051215277778,27.967664930555557
cand_r2,48x48x48,smooth_l1,tiled,22.05070439091435,20.62892433449074
cand_r2,24x24x24,smooth_l2,untiled,24.644386574074073,22.757740162037038
cand_r2,24x24x24,smooth_l2,tiled,19.428385416666668,18.45782696759259
cand_r2,12x12x12,smooth_l3,untiled,21.62384259259259,20.90798611111111
cand_r2,12x12x12,smooth_l3,tiled,22.50173611111111,22.37962962962963
cand_r2,129x97x97,rk_stage,irs,30.04236602783203,29.487398783365887
cand_r2,129x97x97,rk_stage,noirs,28.01451237996419,27.358470492892796
cand_r2,64x48x48,smooth_l1,untiled,30.46880425347222,28.77560085720486
cand_r2,64x48x48,smooth_l1,tiled,24.090799967447918,22.05898708767361
cand_r2,32x24x24,smooth_l2,untiled,29.218614366319443,25.279134114583332
cand_r2,32x24x24,smooth_l2,tiled,21.59564887152778,18.39480251736111
cand_r2,16x12x12,smooth_l3,untiled,23.3828125,22.086805555555557
cand_r2,16x12x12,smooth_l3,tiled,22.57204861111111,20.135416666666668
base_r1,49x33x33,rk_stage,irs,22.852803548177082,21.321309407552082
base_r1,49x33x33,rk_stage,noirs,19.9022216796875,17.95751953125
base_r1,24x16x16,smooth_l1,untiled,23.5517578125,21.880859375
base_r1,24x16x16,smooth_l1,tiled,18.6826171875,17.652994791666668
base_r1,12x8x8,smooth_l2,untiled,22.842447916666668,22.197916666666668
base_r1,12x8x8,smooth_l2,tiled,21.444010416666668,21.227864583333332
base_r1,6x4x4,smooth_l3,untiled,45.6875,44.729166666666664
base_r1,6x4x4,smooth_l3,tiled,53.541666666666664,52.3125
base_r1,65x49x49,rk_stage,irs,21.89868842230903,20.450059678819443
base_r1,65x49x49,rk_stage,noirs,18.786122639973957,17.467529296875
base_r1,32x24x24,smooth_l1,untiled,27.169297960069443,24.94656032986111
base_r1,32x24x24,smooth_l1,tiled,19.462320963541668,18.13644748263889
base_r1,16x12x12,smooth_l2,untiled,23.368272569444443,19.93532986111111
base_r1,16x12x12,smooth_l2,tiled,22.83029513888889,22.465711805555557
base_r1,8x6x6,smooth_l3,untiled,28.666666666666668,26.42013888888889
base_r1,8x6x6,smooth_l3,tiled,35.375,33.47569444444444
base_r1,81x65x65,rk_stage,irs,29.07183074951172,25.789224243164064
base_r1,81x65x65,rk_stage,noirs,25.899992370605467,23.01302490234375
base_r1,40x32x32,smooth_l1,untiled,29.296044921875,28.4360107421875
base_r1,40x32x32,smooth_l1,tiled,22.3060302734375,21.2715576171875
base_r1,20x16x16,smooth_l2,untiled,19.873828125,19.119140625
base_r1,20x16x16,smooth_l2,tiled,17.153125,16.64609375
base_r1,10x8x8,smooth_l3,untiled,26.2359375,25.7109375
base_r1,10x8x8,smooth_l3,tiled,25.390625,25.0640625
base_r1,97x97x97,rk_stage,irs,33.982202035409436,32.95238805700232
base_r1,97x97x97,rk_stage,noirs,31.148926346390336,29.845942744502313
base_r1,48x48x48,smooth_l1,untiled,29.54216851128472,27.598054108796298
base_r1,48x48x48,smooth_l1,tiled,22.35248028790509,20.41866500289352
base_r1,24x24x24,smooth_l2,untiled,25.49710648148148,22.87644675925926
base_r1,24x24x24,smooth_l2,tiled,20.230396412037038,18.529658564814813
base_r1,12x12x12,smooth_l3,untiled,21.62962962962963,20.98553240740741
base_r1,12x12x12,smooth_l3,tiled,22.471064814814813,22.25347222222222
base_r1,129x97x97,rk_stage,irs,32.32500330607096,31.21082221137153
base_r1,129x97x97,rk_stage,noirs,29.199254353841145,28.415870666503906
base_r1,64x48x48,smooth_l1,untiled,30.53879123263889,28.76013861762153
base_r1,64x48x48,smooth_l1,tiled,22.98210991753472,21.460001627604168
base_r1,32x24x24,smooth_l2,untiled,27.291585286458332,25.13503689236111
base_r1,32x24x24,smooth_l2,tiled,19.899034288194443,18.5302734375
base_r1,16x12x12,smooth_l3,untiled,23.458333333333332,19.37456597222222
base_r1,16x12x12,smooth_l3,tiled,22.604600694444443,22.23394097222222
base_r2,49x33x33,rk_stage,irs,22.46319580078125,21.09002685546875
base_r2,49x33x33,rk_stage,noirs,19.657765706380207,17.901143391927082
base_r2,24x16x16,smooth_l1,untiled,22.7607421875,21.746419270833332
base_r2,24x16x16,smooth_l1,tiled,18.132649739583332,17.558919270833332
base_r2,12x8x8,smooth_l2,untiled,22.96875,22.774739583333332
base_r2,12x8x8,smooth_l2,tiled,21.53125,21.3046875
base_r2,6x4x4,smooth_l3,untiled,46.583333333333336,45.34375
base_r2,6x4x4,smooth_l3,tiled,54.083333333333336,52.90625
base_r2,65x49x49,rk_stage,irs,21.86819797092014,21.09906005859375
base_r2,65x49x49,rk_stage,noirs,18.73739284939236,17.60537380642361
base_r2,32x24x24,smooth_l1,untiled,26.830186631944443,24.89350043402778
base_r2,32x24x24,smooth_l1,tiled,19.03350151909722,18.154893663194443
base_r2,16x12x12,smooth_l2,untiled,23.333984375,20.086805555555557
base_r2,16x12x12,smooth_l2,tiled,22.51128472222222,20.55295138888889
base_r2,8x6x6,smooth_l3,untiled,27.5625,26.73611111111111
base_r2,8x6x6,smooth_l3,tiled,34.451388888888886,33.885416666666664
base_r2,81x65x65,rk_stage,irs,28.650779724121094,26.832974243164063
base_r2,81x65x65,rk_stage,noirs,25.66341552734375,23.42564697265625
base_r2,40x32x32,smooth_l1,untiled,29.8309814453125,28.2387451171875
base_r2,40x32x32,smooth_l1,tiled,22.47418212890625,21.2769775390625
base_r2,20x16x16,smooth_l2,untiled,20.1046875,19.391796875
base_r2,20x16x16,smooth_l2,tiled,17.3234375,16.7150390625
base_r2,10x8x8,smooth_l3,untiled,26.4359375,25.9890625
base_r2,10x8x8,smooth_l3,tiled,25.4296875,25.125
base_r2,97x97x97,rk_stage,irs,32.80828235767506,31.626433195891202
base_r2,97x97x97,rk_stage,noirs,29.870093451605904,28.793349654586226
base_r2,48x48x48,smooth_l1,untiled,28.681016710069443,27.73725947627315
base_r2,48x48x48,smooth_l1,tiled,21.487309208622687,20.53422489872685
base_r2,24x24x24,smooth_l2,untiled,25.03515625,22.81423611111111
base_r2,24x24x24,smooth_l2,tiled,19.868055555555557,18.515986689814813
base_r2,12x12x12,smooth_l3,untiled,22.058449074074073,21.44502314814815
base_r2,12x12x12,smooth_l3,tiled,22.74710648148148,22.37210648148148
base_r2,129x97x97,rk_stage,irs,33.463147481282554,32.982300652398
base_r2,129x97x97,rk_stage,noirs,30.672624376085068,29.906214396158855
base_r2,64x48x48,smooth_l1,untiled,29.965352376302082,28.369737413194443
base_r2,64x48x48,smooth_l1,tiled,23.38309054904514,21.29153781467014
base_r2,32x24x24,smooth_l2,untiled,27.203260633680557,25.09271918402778
base_r2,32x24x24,smooth_l2,tiled,20.066324869791668,18.44677734375
base_r2,16x12x12,smooth_l3,untiled,23.340711805555557,19.53472222222222
base_r2,16x12x12,smooth_l3,tiled,22.563368055555557,22.4140625
